title,url,summary,analyzed_content,tone,emotion,personality_hint
リスフラン関節炎,https://oatcs.net/oat/archives/3067,元々は遺伝的Ｘ脚で片側性の足首捻挫（距骨の前外方変位）の治療を行っていました。本日約3ヶ月ぶりに来院されまして、今日は左右の足背が痛いとのこと。触ってみると軽度の熱感、発赤があり明らかに炎症がありました。そもそもの原因は… 続きを読む →,遺伝的なX脚による足の痛みを持つ患者に対して、治療と病態の理解を促すアプローチを行った医療のケーススタディ。,専門的,思慮深い,著者は患者の理解を重視し、慎重に治療方針を考える思慮深い性格がうかがえる。
心身ともに健康でいる,https://oatcs.net/oat/archives/3065,と言うことの重要性を常に感じています。このお仕事を39年やらせてもらっていますが、今だにわからないことだらけ・・・。でも臨床を通して自分が生まれてきた意味を深く感じることができています。最近はやはり自分の身体のメンテナン… 続きを読む →,著者は39年間の仕事を通じて自己の存在意義を感じつつ、身体のメンテナンスの重要性を再認識し、治療を通じて学びを深めていることを述べています。,リフレクティブ,学び,著者は自己成長を重んじ、常に学ぶ姿勢を持つ熱心な人柄が伺えます。
本当、色々気づくこと,https://oatcs.net/oat/archives/3062,最良だと思って行っていた今のやり方、それよりもっといいやり方があるはず　そのことに気づいて手応えとして強く感じることができる。治療家としてとても幸せが時間です。臨床において斜角筋に鍼を打つ事は大変多いです。ですが、その先… 続きを読む →,著者は自身の治療法に対する反省と新たな発見を通じて、仕事への愛情を再確認している。,内省的,喜び,著者は自己成長を重視し、深い愛情を持って仕事に取り組む真摯な性格の持ち主である。
肘関節周辺の脂肪体,https://oatcs.net/oat/archives/3060,に鍼の水平刺を行ってみました。その患者さんの残りの主訴として肘関節の屈曲・伸展制限です。今まで関節面圧などを駆使して行ってきまして改善はしていたのですが、今回はこの研究材料として採用してみました。上腕三頭筋の上腕骨の間の… 続きを読む →,鍼の水平刺を用いて肘関節の屈曲・伸展制限の改善を試みた結果、直後効果が良好であったことを報告しています。,専門的,希望,著者は実験的なアプローチを好み、新しい技術に対して前向きな姿勢を持っていると推測されます。
脂肪体と筋膜との隙間に水平刺,https://oatcs.net/oat/archives/3058,このお題で研究してみようと思います。昨日から頭の中がぐるぐる回っているので、あえて勉強モードを休止中にしてます。臨床では5例行いましたがいい感じです。アキレス腱のもやりました。このイメージ、やり方を確立していきたいですね… 続きを読む →,著者はアキレス腱の研究に取り組んでおり、良い結果を得ていることを報告している。,反省的,期待,著者は探求心が強く、自己成長を重視する性格と推測される。
この考えを他の関節にも,https://oatcs.net/oat/archives/3055,応用したらいいんじゃないかと思うようになりました。早速、足首が硬くて正座がやりにくい患者さんにやってみました。それはアキレス腱と脛骨の間にある脂肪体との隙間に鍼を水平刺です。直後ばっちり正座ができました。今まで距骨のAR… 続きを読む →,足首が硬い患者に対して、新たな鍼治療を試みた結果、正座ができるようになったことを報告している。,励まし,希望,著者は熱心で、患者の改善に対して真剣に取り組む姿勢を持っていると推測される。
大腿骨前脂肪体、膝蓋上脂肪体、膝蓋下脂肪体 ♯2,https://oatcs.net/oat/archives/3053,引き続きやっています。今のところかなり順調です。新しいものを発見した時に大事なことはその評価です。何を評価として採用するかです。本日は4例に行いましたが、全てX脚、O脚に対してのものでした。膝関節が完全伸展するための条件… 続きを読む →,膝関節の改善に向けた研究を続けており、新しい発見の評価が重要であることを述べている。,真剣,希望,著者は研究に対して情熱を持ち、分析的な思考を大切にしている人物である。
大腿骨前脂肪体、膝蓋上脂肪体、膝蓋下脂肪体,https://oatcs.net/oat/archives/3051,これら3つの脂肪体と大腿直筋、膝蓋靭帯の間に鍼を水平刺入しました。膝関節の完全伸展や屈曲に対してとても有効だと思います。脂肪体と筋膜が癒着してしまうことに対して潤滑性を高める目的です。本日4例行ってみました。なかなかいい… 続きを読む →,膝関節の機能改善のために鍼治療を行い、効果を実感したという内容。,専門的,前向き,著者は実践を重視し、効果を追求する真面目な性格の持ち主。
久しぶりに,https://oatcs.net/oat/archives/3049,鍼の打ち方の新しいやり方を発見できたと思います。それは膝関節です。今まで膝関節の屈曲・伸展制限に対する筋・筋膜的なアプローチは大きな発展はありませんでした。最後の仕上げは関節矯正（距骨やSHMT、股関節のMAXIS AR… 続きを読む →,膝関節に対する新しい鍼治療法を発見し、効果を実感したという内容。,前向き,希望,著者は探求心が強く、新しい知識や技術に対して積極的に取り組む姿勢を持っている。
部分的な腰椎後弯に対してもABT-2,https://oatcs.net/oat/archives/3047,慢性的な腰痛の患者さんでここ最近胸椎に対してABT-2を行ってきたおかげで胸椎の後弯、腰部の筋膜痛も改善してきました。ですが改めて観察していると腰部の部分的な後方変位を発見したのです。患者さんにお聞きすると昔椎間板ヘルニ… 続きを読む →,胸椎に対するABT-2治療により、慢性的な腰痛の改善が見られ、特にL3-4の部分に対する治療で可動域が大幅に向上したという体験を共有している記事。,専門的,驚き,著者は患者の改善に喜びを感じる熱心な治療者であり、前向きな姿勢を持っている。
肋椎関節と呼吸と持久力,https://oatcs.net/oat/archives/3044,高校生の短距離選手で、色々改善したので何かネタ探しをしてたところふと気になったのです。肋骨の捩れ。もしかしてと思ってお聞きしてみるとやはり普段から呼吸しづらいとのこと。おそらく選手として持久力にも影響出ると思われます。A… 続きを読む →,高校生の短距離選手が肋骨の捩れを改善するためのトレーニングを行ったことを報告しています。,前向き,希望,著者は熱心で、選手の成長を心から応援する性格の持ち主である。
残念、無念,https://oatcs.net/oat/archives/3042,なことがありました。膝の痛みで1月まで通院されていた患者さん、突然体調不良で来れなくなってしまいました。ちょうどその後にSHMTを研究を始めた頃でした。是非その方に仕上げとして治療したいと思っていました。その方から先程メ… 続きを読む →,患者さんが膝の痛みを改善し、転職で九州に引っ越すことになったが、著者はその患者を最後に治療したかったと感じている。,思慮深い,残念,著者は患者の健康に対して真剣で情熱的な性格を持っているようです。
ABT-2を行っていくと,https://oatcs.net/oat/archives/3040,その患者さんの胸椎の後下方変位が列ではなくセグメントとして残ることが多いです。後発部位としては、Th7-8-9辺りが多いですね。その絞り込んだセグメントに対して同じエネルギーややり方ではどうしてももう少しなんですよね。そ… 続きを読む →,胸椎の後下方変位に対するアプローチとして、呼吸をキーにした新しい動きの提案がなされている。,研究的,探求,著者は問題解決に熱心で、創造的なアプローチを重視する性格の持ち主である。
ABT-2やSHMTを活用して,https://oatcs.net/oat/archives/3038,思ったこと。それはやはり前後系に対しての改善にはとても有効だなと思っています。頸椎、体幹部、骨盤部の左右系、ラセン捩れ系に対してはまだまだ課題がありますね。その辺りを今までのテクニックをうまく混ぜて行なっていく時期に来て… 続きを読む →,身体の前後系の改善が有効である一方、他の系に対しては課題が残っており、新しい発見を期待している。,contemplative,期待,著者は積極的に改善を追求し、新しい知識を探求する好奇心旺盛な性格である。
メンテナンス ♯71,https://oatcs.net/oat/archives/3036,昨日は2人の柔整師と勉強会（メンテナンス）でした。まずは前回の続きでSHMTの応用編としてまた新しい技の実技を行いました。2人とも前回までの技術はほぼ完璧にできてましたね。なので今日はそのさらに上のレベルのことをやること… 続きを読む →,昨日の勉強会では、柔整師たちと新しい技術を実践し、さらなるスキル向上を目指しました。,教育的,充実感,著者は熱心で情熱的な指導者であり、学びを重視する姿勢が感じられます。
ABT-2の改良,https://oatcs.net/oat/archives/3033,本日発見したのですが、胸椎の後弯、椎骨の後下方変位に対するABT-2ですが幅広く後弯している場合、どうしても時間がかかってしまうので時間短縮で行う方法として術者が両手を胸椎に縦に並べて行うと早く改善できることを発見しまし… 続きを読む →,胸椎の後弯に対する新しい施術法を発見し、効率的に改善できる方法を紹介しています。,理論的,喜び,著者は新しい発見に対して熱心で、効率を重視する実践的な性格を持っているようです。
BTT （肋骨後方変位矯正法）の改良 ♯2,https://oatcs.net/oat/archives/3031,何例か行なっていますが・・・イマイチですね。もう一度考えに直したいと思います。自分の感じる、やりたいと思うものではないですね。例えできたとしても長続きはしないはず。この最初の感動って大事なんです。仕切り直しです。 続きを読む →,著者は現在の取り組みに満足しておらず、再評価とやり直しを考えている。,反省的,迷い,著者は自己改善に対して真剣で、感情に敏感な性格を持っている。
BTT （肋骨後方変位矯正法）の改良 ♯1,https://oatcs.net/oat/archives/3028,考えています。ABT-2を行うようになり、さらに何かと思いまして。肋横突関節、肋椎関節に対して斜め45度の角度で前下方に向かって、患者さんの呼吸に合わせて行なってみました。いい感じですね。研究してみたいと思います。 続きを読む →,ABT-2の実施を通じて、肋横突関節や肋椎関節へのアプローチを模索している様子が描かれている。,探求的,期待,著者は新しい知識や技術を追求する意欲的な性格を持っていると推測される。
その評価と根拠,https://oatcs.net/oat/archives/3025,日々臨床でいま行なっている治療の根拠や理由、その評価にについて深く考えています。患者さんから質問されたり、疑問をもたれても即答できるように備えておきたいのです。要するに心配性なのです。でもそのおかけで、うまく機能すればと… 続きを読む →,著者は臨床治療の根拠や評価について深く考え、心配性ながらも患者に喜んでもらえることを大切にしている。,思慮深い,反省,著者は自分の治療に対する責任感が強く、患者への配慮を忘れない真面目な性格である。
腰痛に対する胸椎のABT ♯2,https://oatcs.net/oat/archives/3022,いい感じです。自分の思いにあったものを患者さんにできること、それが幸せなのです。続けて見ます。新たな気づきを楽しみにしてます。私は人よりも結構頑固なキャラだと思ってます。でも欲張りではありません。これさえあればもう何もい… 続きを読む →,著者は自分の治療院に対する思いを語り、治療法の整理を考えている。,前向き,幸福,著者は自分の信念に忠実で、シンプルな生き方を大切にしている。
腰痛に対する胸椎のABT ♯1,https://oatcs.net/oat/archives/3017,先週の金曜日にひらめいてくれました。良かったです。最近かなり悶々とした日々を送ってましたので。やはりOATらしさを無視して行う手技は所詮長続きしません。その時の効果に感動しても気持ちも長続きしないのです。今回の発見と評価… 続きを読む →,著者は、OATに基づいた新しい手技の発見を通じて腰痛改善の可能性を感じている。,思索的,安堵,著者は新しい発見に対して柔軟で探求心旺盛な性格を持っている。
メンテナンス ♯70,https://oatcs.net/oat/archives/3015,昨日は2人の鍼灸師にメンテナンスをしてもらいました。Uさんには腰部をgさんには胸郭出口付近を治療してもらいました。2人にバッチリそしてスムーズにやってもらったお陰で今日は楽ですよ。2人ともありがとうございました。今年の課… 続きを読む →,昨日は2人の鍼灸師によるメンテナンスを受け、その後焼き鳥屋で臨床の悩みを語り合ったことを綴った記事です。,親しみやすい,感謝,著者は人とのつながりや学びを大切にし、向上心を持つ性格であると推測されます。
"胸椎のABT, ABT-2について思うこと",https://oatcs.net/oat/archives/3013,イマイチやり方が気に入ってません。腰痛に対してのABTやり方が・・・イマイチなんです。効果としてではないです。治療の大事な要素の一つのその術者らしさってあると思うのです。そのらしさが感じにくいんですよね。何か改良したいで… 続きを読む →,腰痛治療のABTのやり方に満足しておらず、術者らしさを感じないため改良を希望している。,反省的,不満,著者は改善を追求する真剣で柔軟な考え方を持っている。
臨床において感じること,https://oatcs.net/oat/archives/3010,最近改めて「腰部」について考えるようになりました。患者さんの痛いと思う部位、場所などを特定することは当然としてそのものを改善できたとしても解決することは意外と少ないものです。なぜならどうして腰痛になるのか、なぜ片側だけな… 続きを読む →,腰痛の原因を理解するために、胸椎や骨盤帯・下肢の関連性に注目する重要性について考察しています。,思索的,疑問,著者は探求心が強く、問題解決に対して真摯に取り組む性格である。
約4年前の悩み,https://oatcs.net/oat/archives/3006,昨晩入浴中に突然、側頭骨の耳孔を揃える技を思いつきました。早速、家族やってみると全くの不評でした。悔しいので付け焼き刃のやり方で何種類か修正してやって見ましたが全てダメでした。悔しいですけどとりあえず諦めました。改めて思… 続きを読む →,著者は新しい技を思いついたが、家族から不評を受け、成長を感じられないことに悔しさを抱いている。,反省的,悔しさ,著者は自己改善に対する強い意欲を持っており、挑戦を繰り返すタイプの人である。
SHMT（H）,https://oatcs.net/oat/archives/3004,改良型として、SHMTを行うときに股関節を屈曲しますがその後に股関節伸展していく過程で股関節外旋しながら伸展していくのです。そうすることで距骨ARCT-2〜SHMT〜股関節変位までが一つの長軸骨になるイメージです。そのイ… 続きを読む →,SHMTの際に股関節を屈曲し、その後外旋しながら伸展することの重要性について述べている。,専門的,興味,著者は理論的で探究心が強い性格であると推測される。
帽状腱膜の鍼について ♯2 & SHMTの改良,https://oatcs.net/oat/archives/3001,帽状腱膜の鍼を行うときに、2つ考え方打ち方があります。一つは帽状腱膜内に垂直に打つ場合　これは主に頭頂部、前頭部などです。もう一つは側頭部（側頭筋）に対して行う水平の打ち方です。それをいつもは仰向けで行うのですが、うつ伏… 続きを読む →,帽状腱膜への鍼治療には垂直打ちと水平打ちの2つの方法があり、うつ伏せでの施術が効果的と感じている。,具体的,期待,著者は実験的で探求心が強く、柔軟なアプローチを好む性格の持ち主である。
帽状腱膜の鍼について ♯1,https://oatcs.net/oat/archives/2997,ここ数ヶ月研究をしています。これと言った新しいやり方ではないですが、今のやり方気に入っています。　何より痛くないし効果的ですし欠点がないんです。でも何か物足りないんです。もう一捻り欲しいのですが・・・今の私の頭では創造で… 続きを読む →,著者は現在の研究方法に満足しているが、さらなる創造性を求めている。,穏やか,期待,著者は現状に満足しつつも、向上心を持って新しいアイデアを模索する柔軟な性格を持っている。
メンテナンス ♯69,https://oatcs.net/oat/archives/2994,昨日は2人の柔整師によるメンテナンス日でした。昨日は今年初めての会でした。先ずはSHMTの座学から始まり実技を行いました。我々、手を使って患者さんを治療する仕事で大事なことの一つに「何を思って、何を感じ、何を行うか」が大… 続きを読む →,昨日は柔整師のメンテナンス日で、新しいテクニックの習得と胸椎に関する考え方を学び、楽しい時間を過ごしました。,教育的,喜び,著者は情熱的で、仲間の成長を大切にする温かい性格を持っている。
SHMTの評価 ♯2,https://oatcs.net/oat/archives/2991,治療前後の評価として3つ発見しました。　やはり患者さんの協力が不可欠なんですよね。患者さんがそのことに興味を持ってもらうことがとても大事。疼痛に対する治療は当然ですが、歪みに対するものってなかなか厳しいことがあります。そ… 続きを読む →,患者の協力が治療の効果に不可欠であり、参加型の治療方法が重要であることを述べている。,期待感,希望,著者は患者とのコミュニケーションを重視し、前向きな姿勢で治療に取り組む人柄が伺える。
ある患者さんとの会話,https://oatcs.net/oat/archives/2989,私「〇〇さん、歩きが良くなりましたね　今までは横方向に流れてたのに今は前方向に対しての推進力が増してますよ。きっと歩くのが速くなったはず」 患「よく分かりましたね　そうなんですよ　実はね、今まで先生のところに来るのに日野… 続きを読む →,患者の歩行改善を喜ぶ医師との会話を通じて、患者の成長を感じる様子が描かれている。,フレンドリー,喜び,著者は患者の成長を心から応援し、喜びを感じる思いやりのある性格を持っている。
SHMTの評価 ♯1,https://oatcs.net/oat/archives/2986,いい感じです。膝裏が螺旋状に伸びていく感じをイメージしてもらっています。膝裏が伸びない場合のストレッチや体操ってどうしても直線的になりがちですが、そうではなく螺旋状に伸びていく感じ。床屋さんの看板のイメージですね。矯正前… 続きを読む →,膝裏のストレッチを螺旋状にイメージすることで効果を高め、患者との相互関係の重要性を強調している。,教育的,前向き,著者は熱心で、患者とのコミュニケーションを大切にする思いやりのある性格を持っている。
今日も楽しい臨床でした,https://oatcs.net/oat/archives/2984,月に1回のメンテナンスでいらっしゃっている80代の女性との何気ない会話。患「私、70〜75歳ぐらいの時が一番調子が悪かったですね　でも今はとても元気　うれしいです」私「いいですね　うれしいですよね」　何気ない会話ですけど… 続きを読む →,80代の女性が80歳になってから調子が良くなったことを語り、新たに訪れた患者が看板を見て来院したことに喜びを感じた日常の出来事を綴っている。,温かい,幸福,著者は患者との心温まる交流を大切にし、ポジティブな視点を持つ思いやりのある人柄である。
こだわり過ぎないことにこだわる,https://oatcs.net/oat/archives/2980,臨床ではそう思っています。私の性格上なかなか大変ですけどね。どうしても物事の本質や根拠が知りたいという知的好奇心が騒ぐのです。うまくいってもいかなくてもそれには理由がある　というもの。でも臨床においてその思いが強すぎるこ… 続きを読む →,臨床における知的好奇心とそのバランスの重要性についての考察。,思索的,反省,著者は知的好奇心が強く、物事を深く考えることを重視する慎重な性格の持ち主である。
SHMTのその後,https://oatcs.net/oat/archives/2977,なかなか良い感じだと思っています。もちろん課題はありますが、皆さんいい感じになっています。脛骨の外旋程度によっても改善速度は違いそうです。今後発展していきたくなるはずですが、今のところこの感じで満足しています。直後効果は… 続きを読む →,現在の状況に満足しつつも、今後の改善や研究の必要性を感じている。,反省的,安堵,著者は前向きで改善志向の性格を持ち、現状に対しても冷静に分析する姿勢がある。
問診の大切さについて,https://oatcs.net/oat/archives/2974,いつもは手の腱鞘炎の治療を行っていますが、今日は腰痛を訴えているのでそちらを治療することになりました。とくにしゃがみ動作が痛いとのこと。しゃがんでもらうと確かに痛くて大変そうです。何回やってもらっても左加重でしゃがむので… 続きを読む →,腰痛を訴える患者の治療を行ったが、咳の症状が長引いており、腰痛の根本原因に疑問を感じる内容。,親しみやすい,不安,著者は患者の状態に真剣に向き合い、治療の背後にある複雑な要因を考慮する慎重な性格を持っている。
やはり距骨のARCT-2,https://oatcs.net/oat/archives/2972,最近はSHMTを多用していることが多いですが、その時でも必ず距骨の変位は毎回確認するようにしています。改めて距骨のARCT-2はいいなと思えることがありました。先ず1例目は辛くなると来院される患者さんで、今日は左右の腰が… 続きを読む →,記事では、距骨の変位の確認とARCT-2の効果を通じて、患者の腰痛や動作改善の事例が紹介されています。,専門的,希望,著者は患者の改善に情熱を持ち、さらなる研究への意欲を示す真摯な性格である。
SHMTの気付き ♯1,https://oatcs.net/oat/archives/2970,気づきと言いますか改良なのかもしれません。でも改良ほどのものでもないんですよね。そもそも最初からそうやってやればいいのでは❓と思うからです。要するに最初から自分が感じていればそれで良いのですから。その気づきですが、その方… 続きを読む →,股関節の位置を意識しながらSHMTを行うことで、効果が高まる可能性について考察している。,考察的,考慮,著者は細かい点に気づき、改善を追求する慎重な性格を持っている。
SHMTを行うにあたっての評価,https://oatcs.net/oat/archives/2966,まずSHMT前に仰向けでパテラの中心から脛骨粗面までの線、立位でのパテラの向きに対しての脛骨の捻れ具合を観察し、患者さんにもその位置関係を目で確認してもらう。それから膝裏の感じ、足底の付き具合なども覚えといてもらうこと。… 続きを読む →,SHMT前後での膝の観察と患者への確認を通じて、個々のタイプに応じた生活上の注意点を伝える内容。,専門的,教育的,著者は患者への配慮を大切にし、丁寧に指導する姿勢を持っている。
SHMT（スクリューホームムーブメントテクニック）,https://oatcs.net/oat/archives/2962,本日は12例に行いました。直後効果になりますが皆さんいい感じです。後は再診の状態を観察していきたいと思います。股関節の変位次第で若干やり方を変えています。一緒に腸脛靭帯の治療も必要かどうかなどのバリエーションも今後の課題… 続きを読む →,12例の治療を行い、直後の効果が良好で、今後の観察と研究に期待を寄せている。,前向き,希望,著者は探求心が強く、治療に対して真剣に取り組んでいる人物である。
メンテナンス ♯68,https://oatcs.net/oat/archives/2959,昨日は2人の鍼灸師による今年最初のメンテナンスでした。今年の研究課題は「治療のバリエーションについて考える」です。この課題はかなり奥が深いです。考え出したら書ききれません。それくらい奥が深く、一生かかっても解決できない課… 続きを読む →,昨日は2人の鍼灸師とのメンテナンスを行い、治療のバリエーションについて考える研究課題に取り組んだことを振り返った。,友好的,喜び,著者は熱心で学びを重視し、仲間との交流を大切にする性格の持ち主である。
スクリューホームムーブメントと腸脛靭帯,https://oatcs.net/oat/archives/2956,本日は5例行いました。興味深い症例としまして、産後間もない患者さんと5日前に転倒して負傷した膝の患者さんです。特に産後間もない患者さんはかなり効きが早かった印象で、あえて仙腸関節を治療せず、距骨と膝関節の捻れだけの治療を… 続きを読む →,産後の患者さんと膝の負傷者に対する治療の成果を報告し、特に産後の患者に効果があったことに満足している内容。,実践的,満足,著者は治療に対して真剣で、患者の結果に喜びを感じる優しい性格の持ち主である。
スクリューホームムーブメントの続き,https://oatcs.net/oat/archives/2952,本日も6例に対して行ってみました。特に印象的だったのは直後に股関節内旋&脛骨外旋タイプのＯ脚が改善したことです。今まで自分が勉強や研究してきたこと、全て正しかったわけではありません。その都度勉強しなおしたり、修正… 続きを読む →,著者は6例の施術を行い、特に股関節内旋&脛骨外旋タイプのO脚が改善したことに驚きを感じている。,反省的,驚き,著者は自己成長を重視し、新しい知識を取り入れる姿勢を持っている。
本日も,https://oatcs.net/oat/archives/2949,引き続き膝関節のスクリューホームムーブメントに対する関節手技を行いました。本日は11名に行っていますが、直後効果は良さそうです。あとは次回来院された時の感じや患者さんご自身の感想等を聞いてみたいです。必ずしも両側やり場合… 続きを読む →,膝関節のスクリューホームムーブメントに関する関節手技を行い、患者の効果を観察した内容です。,専門的,期待,著者は研究熱心で、患者のフィードバックを重視する慎重な性格の持ち主である。
スクリューホームムーブメントについて,https://oatcs.net/oat/archives/2945,今まで関節包内運動学を勉強してきて、膝関節の屈曲・伸展時の包内運動は理解していましたし、MAXISでも意識していました。ですが、お正月に読んだ本に載っていたこの「スクリューホームムーブメント」という言葉は恥ずかしながら知… 続きを読む →,著者は「スクリューホームムーブメント」に関する新たな理解を得て、実際に患者に対してその技術を応用した経験を共有している。,教育的,好奇心,著者は学ぶ姿勢を大切にし、実践を通じて新しい知識を活かそうとする前向きな性格を持っている。
距骨の後内方変位❓,https://oatcs.net/oat/archives/2943,数ヶ月に一度、姿勢矯正目的で来院されている患者さん。その都度その都度展開を考えて進めてきました。患者さん「お正月、実家に帰ったら身長伸びた❓って言われましたよ」私「良かったですね　今までは重力に押しつぶされている感じで、… 続きを読む →,患者の姿勢改善に向けた施術の過程と新たな発見についての報告。,柔らかい,驚き,著者は新しい発見を楽しむ好奇心旺盛で、患者とのコミュニケーションを大切にする性格の持ち主。
1週間の休暇,https://oatcs.net/oat/archives/2941,今年もゆっくり時間が流れる心地良さを感じました。ちょこちょこ予定は入ってましたが、ゆっくりできました。年明けから臨床学の本を読み始めました。臨床推論というテーマの本で、仮説を立てて検証していく、そして組織学の観点ならびに… 続きを読む →,著者は今年の始まりに臨床学の本を読み始め、臨床推論のテーマに興味を持ち、早速実践に活用していることを述べています。,穏やか,充実,著者は学びに対して前向きで、研究や実践を通じて成長を目指す探求心を持った人だと推測されます。
今年最後です,https://oatcs.net/oat/archives/2938,今年も無事に一年を終えようとしています。とても感慨深い気持ちです。1年前と比べて気づかなかったことに気づける、自分と向き合いながら自分の成長を感じることができる。本当にこの職業、仕事に感謝です。改めて自分が生まれてきた意… 続きを読む →,著者は一年を振り返り、自身の成長や患者への感謝を感じながら、来年の飛躍を誓っています。,感謝,幸福,著者は自己成長を大切にし、他者への感謝を忘れない思慮深い性格の持ち主である。
今年もあと少しです,https://oatcs.net/oat/archives/2936,治療が終わってお会計&次回の予約を終えて帰る時の会話患者さん「今年も一年有り難うございました」私「いえいえ、また来年、今よりももっと良くなりますからね　楽しみにしててくださいね」という何気ない会話ですが、私はこの… 続きを読む →,患者との会話を通じて、症状の改善と来年への期待を感じる著者の思いを述べています。,温かい,希望,著者は患者の健康と成長を心から願う、思いやりのある性格を持っています。
